date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:14	28847/28847	---M-Z	200	added ('OK')	text/html	etag:%2270af-55913f3785729-gzip%22	https://www.pearlthemes.com/html/antarctica/home-4.html	www.pearlthemes.com/html/antarctica/home-4.html	(from )
10:54:16	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2004%20Apr%202019%2005:24:15%20GMT	https://www.pearlthemes.com/robots.txt		(from )
10:54:16	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-547c671e742f5-gzip%22	https://www.pearlthemes.com/html/antarctica/css/font-awesome.min.css	www.pearlthemes.com/html/antarctica/css/font-awesome.min.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:17	5768/5768	---M-Z	200	added ('OK')	text/css	etag:%221688-547c6883ed51f-gzip%22	https://www.pearlthemes.com/html/antarctica/js/flexslider/flexslider.css	www.pearlthemes.com/html/antarctica/js/flexslider/flexslider.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:18	3011/3011	---M-Z	200	added ('OK')	text/css	etag:%22bc3-547c68d810be2-gzip%22	https://www.pearlthemes.com/html/antarctica/js/owl.carousel/assets/owl.carousel.min.css	www.pearlthemes.com/html/antarctica/js/owl.carousel/assets/owl.carousel.min.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:19	1003/1003	---M-Z	200	added ('OK')	text/css	etag:%223eb-547c68d930183-gzip%22	https://www.pearlthemes.com/html/antarctica/js/owl.carousel/assets/owl.theme.default.min.css	www.pearlthemes.com/html/antarctica/js/owl.carousel/assets/owl.theme.default.min.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:20	2505/2505	---M-Z	200	added ('OK')	text/css	etag:%229c9-547c687de65c5-gzip%22	https://www.pearlthemes.com/html/antarctica/js/slicknav/slicknav.min.css	www.pearlthemes.com/html/antarctica/js/slicknav/slicknav.min.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:21	17565/17565	---M-Z	200	added ('OK')	text/css	etag:%22449d-547c68eb42c6a-gzip%22	https://www.pearlthemes.com/html/antarctica/js/lightcase/css/lightcase.css	www.pearlthemes.com/html/antarctica/js/lightcase/css/lightcase.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:22	8376/8376	---M-Z	200	added ('OK')	text/css	etag:%2220b8-5482c658b5413-gzip%22	https://www.pearlthemes.com/html/antarctica/js/fakeLoader/fakeLoader.css	www.pearlthemes.com/html/antarctica/js/fakeLoader/fakeLoader.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:23	159720/159720	---M-Z	200	added ('OK')	text/css	etag:%2226fe8-55913ef570c67-gzip%22	https://www.pearlthemes.com/html/antarctica/css/main.css	www.pearlthemes.com/html/antarctica/css/main.css	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:24	41816/41816	---M-Z	200	added ('OK')	text/html	etag:%22a358-559137b442f76-gzip%22	https://www.pearlthemes.com/html/antarctica/index.html	www.pearlthemes.com/html/antarctica/index.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:25	2448/2448	---M--	200	added ('OK')	image/png	etag:%22990-547c6750235a4%22	https://www.pearlthemes.com/html/antarctica/images/logo.png	www.pearlthemes.com/html/antarctica/images/logo.png	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:26	34783/34783	---M-Z	200	added ('OK')	text/html	etag:%2287df-559137c75a654-gzip%22	https://www.pearlthemes.com/html/antarctica/home-2.html	www.pearlthemes.com/html/antarctica/home-2.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:27	29021/29021	---M-Z	200	added ('OK')	text/html	etag:%22715d-559137b9f0543-gzip%22	https://www.pearlthemes.com/html/antarctica/home-3.html	www.pearlthemes.com/html/antarctica/home-3.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:28	23796/23796	---M-Z	200	added ('OK')	text/html	etag:%225cf4-54884d580f34c-gzip%22	https://www.pearlthemes.com/html/antarctica/home-5.html	www.pearlthemes.com/html/antarctica/home-5.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:29	24693/24693	---M-Z	200	added ('OK')	text/html	etag:%226075-559137d8ece91-gzip%22	https://www.pearlthemes.com/html/antarctica/about-us.html	www.pearlthemes.com/html/antarctica/about-us.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:30	15242/15242	---M-Z	200	added ('OK')	text/html	etag:%223b8a-559137b6ccdda-gzip%22	https://www.pearlthemes.com/html/antarctica/portfolio-single.html	www.pearlthemes.com/html/antarctica/portfolio-single.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:31	31710/31710	---M-Z	200	added ('OK')	text/html	etag:%227bde-559137c0c8463-gzip%22	https://www.pearlthemes.com/html/antarctica/single.html	www.pearlthemes.com/html/antarctica/single.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:32	17199/17199	---M-Z	200	added ('OK')	text/html	etag:%22432f-55913f23943ef-gzip%22	https://www.pearlthemes.com/html/antarctica/shortcodes.html	www.pearlthemes.com/html/antarctica/shortcodes.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:34	15768/15768	---M-Z	200	added ('OK')	text/html	etag:%223d98-55913f3194755-gzip%22	https://www.pearlthemes.com/html/antarctica/quotes.html	www.pearlthemes.com/html/antarctica/quotes.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:35	17649/17649	---M-Z	200	added ('OK')	text/html	etag:%2244f1-5482c5b39ffc8-gzip%22	https://www.pearlthemes.com/html/antarctica/columns.html	www.pearlthemes.com/html/antarctica/columns.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:36	25890/25890	---M-Z	200	added ('OK')	text/html	etag:%226522-559137ca1a017-gzip%22	https://www.pearlthemes.com/html/antarctica/tabs.html	www.pearlthemes.com/html/antarctica/tabs.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:37	22100/22100	---M-Z	200	added ('OK')	text/html	etag:%225654-55913f3dd0c4c-gzip%22	https://www.pearlthemes.com/html/antarctica/accordions.html	www.pearlthemes.com/html/antarctica/accordions.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:38	26828/26828	---M-Z	200	added ('OK')	text/html	etag:%2268cc-55913d03a4941-gzip%22	https://www.pearlthemes.com/html/antarctica/pricing-tables.html	www.pearlthemes.com/html/antarctica/pricing-tables.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:39	23387/23387	---M-Z	200	added ('OK')	text/html	etag:%225b5b-55914081b2b4a-gzip%22	https://www.pearlthemes.com/html/antarctica/services.html	www.pearlthemes.com/html/antarctica/services.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:40	17403/17403	---M-Z	200	added ('OK')	text/html	etag:%2243fb-559137c43383b-gzip%22	https://www.pearlthemes.com/html/antarctica/portfolio.html	www.pearlthemes.com/html/antarctica/portfolio.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:41	28250/28250	---M-Z	200	added ('OK')	text/html	etag:%226e5a-559137bdb4ae1-gzip%22	https://www.pearlthemes.com/html/antarctica/blog.html	www.pearlthemes.com/html/antarctica/blog.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:42	21970/21970	---M-Z	200	added ('OK')	text/html	etag:%2255d2-55913f42b6e9d-gzip%22	https://www.pearlthemes.com/html/antarctica/contact.html	www.pearlthemes.com/html/antarctica/contact.html	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:43	80292/80292	---M--	200	added ('OK')	image/jpeg	etag:%22139a4-547c685e85731%22	https://www.pearlthemes.com/html/antarctica/images/slider/slider-v4-img-1.jpg	www.pearlthemes.com/html/antarctica/images/slider/slider-v4-img-1.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:45	117488/117488	---M--	200	added ('OK')	image/jpeg	etag:%221caf0-547c685554ecb%22	https://www.pearlthemes.com/html/antarctica/images/slider/slider-v4-img-2.jpg	www.pearlthemes.com/html/antarctica/images/slider/slider-v4-img-2.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:46	130024/130024	---M--	200	added ('OK')	image/jpeg	etag:%221fbe8-547c68602b527%22	https://www.pearlthemes.com/html/antarctica/images/slider/slider-v4-img-3.jpg	www.pearlthemes.com/html/antarctica/images/slider/slider-v4-img-3.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:46	7554/7554	---M--	200	added ('OK')	image/jpeg	etag:%221d82-547c681bd21cb%22	https://www.pearlthemes.com/html/antarctica/images/portfolio/p19.jpg	www.pearlthemes.com/html/antarctica/images/portfolio/p19.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:47	21983/21983	---M--	200	added ('OK')	image/jpeg	etag:%2255df-547c681d005b4%22	https://www.pearlthemes.com/html/antarctica/images/portfolio/p20.jpg	www.pearlthemes.com/html/antarctica/images/portfolio/p20.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:48	11176/11176	---M--	200	added ('OK')	image/jpeg	etag:%222ba8-547c681e90802%22	https://www.pearlthemes.com/html/antarctica/images/portfolio/p21.jpg	www.pearlthemes.com/html/antarctica/images/portfolio/p21.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:49	17998/17998	---M--	200	added ('OK')	image/jpeg	etag:%22464e-547c67fb7bd77%22	https://www.pearlthemes.com/html/antarctica/images/portfolio/p22.jpg	www.pearlthemes.com/html/antarctica/images/portfolio/p22.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:50	12647/12647	---M--	200	added ('OK')	image/jpeg	etag:%223167-547c67fb19359%22	https://www.pearlthemes.com/html/antarctica/images/portfolio/p23.jpg	www.pearlthemes.com/html/antarctica/images/portfolio/p23.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
10:54:51	9900/9900	---M--	200	added ('OK')	image/jpeg	etag:%2226ac-547c67fca66c7%22	https://www.pearlthemes.com/html/antarctica/images/portfolio/p24.jpg	www.pearlthemes.com/html/antarctica/images/portfolio/p24.jpg	(from https://www.pearlthemes.com/html/antarctica/home-4.html)
